Period Number,Down,Distance,Play Type
3,,,ATTEMPT
3,,,KICKOFF
4,1,10,PASS
4,2,10,PASS
4,3,10,PASS
4,4,8,PUNT
4,1,5,RUSH
4,2,3,PENALTY
4,2,1,RUSH
4,3,3,RUSH
4,,,ATTEMPT
4,,,KICKOFF
4,1,10,RUSH
4,2,5,PASS
4,1,10,TIMEOUT
4,1,10,PASS
4,2,10,RUSH
4,3,4,PASS
4,1,10,RUSH
4,2,10,RUSH
4,3,5,RUSH
4,4,2,TIMEOUT
4,4,2,PUNT
4,1,6,RUSH
4,2,8,RUSH
4,3,10,RUSH
